"title","arxiv_link","aggregate_score","upvotes","likes","github_stars","github_link","published_at","authors"
"EnterpriseClawBench: Benchmarking Agents from Real Workplace Sessions","https://arxiv.org/abs/2606.23654",113,79,0,34,"https://github.com/FrontisAI/EnterpriseClawBench","2026-06-23","Jincheng Zhong; Weizhi Wang; Che Jiang; Kai Tian; Zhenzhao Yuan; Junlin Yang; Dianqiao Lei; Kaiyan Zhang"
"MemoryWAM: Efficient World Action Modeling with Persistent Memory","https://arxiv.org/abs/2606.20562",110,0,110,0,"","2026-06-18","Sizhe Yang; Juncheng Mu; Tianming Wei; Chenhao Lu; Xiaofan Li; Linning Xu; Zhengrong Xue; Zhecheng Yuan; Dahua Lin; Jiangmiao Pang; Huazhe Xu"
"ICA Lens: Interpreting Language Models Without Training Another Dictionary","https://arxiv.org/abs/2606.11722",110,0,77,33,"https://github.com/liusida/ica-lens-paper","2026-06-10","Sida Liu; Feijiang Han"
"ExpRL: Exploratory RL for LLM Mid-Training","https://arxiv.org/abs/2606.17024",106,0,92,14,"https://github.com/violetxi/ExpRL","2026-06-15","Violet Xiang; Amrith Setlur; Chase Blagden; Nick Haber; Aviral Kumar"
"FORT-Searcher: Synthesizing Shortcut-Resistant Search Tasks for Training Deep Search Agents","https://arxiv.org/abs/2606.12087",103,77,0,26,"https://github.com/RUCAIBox/FORT-Searcher","2026-06-12","Jia Deng; Yimeng Chen; Xiaoqing Xiang; Ziyang Zeng; Shuo Tang; Wayne Xin Zhao; Feng Chang; Chuan Hao; Yuan Wei; Ran Tao; Bryan Dai; Ji-Rong Wen"
"Claw-SWE-Bench: A Benchmark for Evaluating OpenClaw-style Agent Harnesses on Coding Tasks","https://arxiv.org/abs/2606.12344",103,70,0,33,"https://github.com/opensquilla/claw-swe-bench","2026-06-11","Mengyu Zheng; Kai Han; Boxun Li; Haiyang Xu; Yuchuan Tian; Wei He; Hang Zhou; Jianyuan Guo; Hailin Hu; Lin Ma; Chao Xu; Guohao Dai; Lixue Xia; Yunchao Wei; Yunhe Wang; et al. (16 authors)"
"Robots Need More than VLA and World Models","https://arxiv.org/abs/2606.06556",103,0,103,0,"","2026-06-04","Elis Karcini; Faisal Mehrban; Quang Nguyen; Mac Schwager; Arash Ajoudani; Cesar Cadena; Jan Peters; Marco Hutter; Haitham Bou-Ammar"
"RepWAM: World Action Modeling with Representation Visual-Action Tokenizers","https://arxiv.org/abs/2606.13674",99,0,53,46,"https://github.com/wdrink/RepWAM","2026-06-13","Junke Wang; Qihang Zhang; Shuai Yang; Yiming Luo; Yujun Shen; Zuxuan Wu; Yu-Gang Jiang; Yinghao Xu"
"Retrospective Harness Optimization: Improving LLM Agents via Self-Preference over Trajectory Rollouts","https://arxiv.org/abs/2606.05922",98,69,0,29,"https://github.com/wbopan/retro-harness","2026-06-10","Wenbo Pan; Shujie Liu; Chin-Yew Lin; Jingying Zeng; Xianfeng Tang; Xiangyang Zhou; Yan Lu; Xiaohua Jia"
"Self-Distilled Policy Gradient","https://arxiv.org/abs/2606.04036",98,0,52,46,"https://github.com/lauyikfung/SDPG","2026-06-02","Yifeng Liu; Shiyuan Zhang; Yifan Zhang; Quanquan Gu"
