"title","arxiv_link","aggregate_score","upvotes","likes","github_stars","github_link","published_at","authors"
"Flash-WAM: Modality-Aware Distillation for World Action Models","https://arxiv.org/abs/2606.05254",61,0,61,0,"https://github.com/Arman-Akbari/FlashWAM","2026-06-03","Arman Akbari; Ci Zhang; Arash Akbari; Lin Zhao; Yixiao Chen; Weiwei Chen; Xuan Zhang; Geng Yuan; Yanzhi Wang"
"World Value Models for Robotic Manipulation","https://arxiv.org/abs/2606.24742",60,0,60,0,"","2026-06-23","Zhihao Wang; Jianxiong Li; Yu Cui; Yuan Gao; Xianyuan Zhan; Junzhi Yu; Xiao Ma"
"Playful Agentic Robot Learning","https://arxiv.org/abs/2606.19419",60,0,60,0,"","2026-06-17","Junyi Zhang; Jiaxin Ge; Hanjun Yoo; Letian Fu; Zihan Yang; Yaowei Liu; Raj Saravanan; Shaofeng Yin; Justin Yu; Dantong Niu; Zirui Wang; Roei Herzig; Ken Goldberg; Yutong Bai; David M. Chan; et al. (20 authors)"
"Deep Research in Physical Sciences: A Multi-Agent Framework and Comprehensive Benchmark","https://arxiv.org/abs/2606.18648",60,0,57,3,"https://github.com/yigengjiang/physci-deepresearch","2026-06-23","Yigeng Jiang; Tengchao Yang; Taoyong Cui; Jiaxing Wan; Yuan Wang; Weida Wang; Zhiyu Liu; Chuyi Peng; Binzhao Luo; Maoli Gao; Huaihai Huang; Yuqianer Zeng; Ziyang Zheng; Dongchen Huang; Chao Chen; et al. (28 authors)"
"AHA-WAM:Asynchronous Horizon-Adaptive World-Action Modeling with Observation-Guided Context Routing","https://arxiv.org/abs/2606.09811",59,0,59,0,"","2026-06-08","Jisong Cai; Long Ling; Shiwei Chu; Zhongshan Liu; Jiayue Kang; Zhixuan Liang; Wenjie Xu; Yinan Mao; Weinan Zhang; Xiaokang Yang; Ru Ying; Ran Zheng; Yao Mu"
"Mellum2 Technical Report","https://arxiv.org/abs/2605.31268",58,58,0,0,"","2026-06-01","Marko Kojic; Ivan Bondyrev; Aral de Moor; Joseph Shtok; Petr Borovlev; Kseniia Lysaniuk; Madeeswaran Kannan; Ivan Dolgov; Nikita Pavlichenko"
"You Don't Need to Run Every Eval","https://arxiv.org/abs/2606.24020",58,0,58,0,"","2026-06-22","Yuchen Zeng; Dimitris Papailiopoulos"
"The Hitchhiker's Guide to Agentic AI: From Foundations to Systems","https://arxiv.org/abs/2606.24937",58,0,58,0,"","2026-06-22","Haggai Roitman"
"ENPIRE: Agentic Robot Policy Self-Improvement in the Real World","https://arxiv.org/abs/2606.19980",58,0,58,0,"","2026-06-18","Wenli Xiao; Jia Xie; Tonghe Zhang; Haotian Lin; Letian 'Max' Fu; Haoru Xue; Jalen Lu; Yi Yang; Cunxi Dai; Zi Wang; Jimmy Wu; Guanzhi Wang; S. Shankar Sastry; Ken Goldberg; Linxi 'Jim' Fan; et al. (17 authors)"
"Unified Multimodal Autoregressive Modeling with Shared Context-Visual Tokenizer is Key to Unification","https://arxiv.org/abs/2606.18249",58,0,58,0,"","2026-06-17","Wujian Peng; Lingchen Meng; Yuxuan Cai; Xianwei Zhuang; Yuhuan Yang; Rongyao Fang; Chenfei Wu; Junyang Lin; Zuxuan Wu; Shuai Bai"
"Echo-Infinity: Learning Evolving Memory for Real-Time Infinite Video Generation","https://arxiv.org/abs/2606.04527",58,0,58,0,"","2026-06-03","Yuxuan Bian; Zeyue Xue; Songchun Zhang; Shiyi Zhang; Weiyang Jin; Yaowei Li; Junhao Zhuang; Haoran Li; Jie Huang; Haoyang Huang; Nan Duan; Qiang Xu"
"A Semi-Analytical Loss Cone Theory for Tidal Disruption Event Rates Around Kerr Black Holes","https://arxiv.org/abs/2606.18050",57,0,57,0,"","2026-06-16","Wenkang Xin"
"In-Context World Modeling for Robotic Control","https://arxiv.org/abs/2606.26025",56,56,0,0,"","2026-06-26","Siyin Wang; Junhao Shi; Senyu Fei; Zhaoyang Fu; Li Ji; Jingjing Gong; Xipeng Qiu"
"SC3-Eval: Evaluating Robot Foundation Models via Self-Consistent Video Generation","https://arxiv.org/abs/2606.18610",56,0,56,0,"","2026-06-26","Wei-Cheng Tseng; Gashon Hussein; Yuzhu Dong; Allen Z. Ren; Lucy X. Shi; XuDong Wang; Sergey Levine; Zhaoshuo Li; Jinwei Gu; Florian Shkurti; Ming-Yu Liu; Quan Vuong"
"Can I Buy Your KV Cache?","https://arxiv.org/abs/2606.13361",56,0,54,2,"https://github.com/zly-idleness/kvstore","2026-06-11","Luoyuan Zhang"
"SoCRATES: Towards Reliable Automated Evaluation of Proactive LLM Mediation across Domains and Socio-cognitive Variations","https://arxiv.org/abs/2606.05563",55,55,0,0,"","2026-06-08","Taewon Yun; Hyeonseong Park; Jeonghwan Choi; Hayoon Park; Yeeun Choi; Hwanjun Song"
"RepFusion: Leveraging Multimodal Priors for Denoising in Representation Space","https://arxiv.org/abs/2606.14700",55,0,55,0,"","2026-06-12","Xichen Pan; Aashu Singh; Satya Narayan Shukla; Xiangjun Fan; Shlok Kumar Mishra; Saining Xie"
"WavTTS: Towards High-Quality Zero-Shot TTS via Direct Raw Waveform Modeling","https://arxiv.org/abs/2606.03455",55,0,55,0,"","2026-06-02","Wenxi Chen; Dongya Jia; Yushen Chen; Zhikang Niu; Yuzhe Liang; Xiquan Li; Ruiqi Yan; Ziyang Ma; Guanrou Yang; Sanyuan Chen; Yue Wang; Zhuo Chen; Kai Yu; Xie Chen"
"From Activation to Causality: Discovery of Causal Visual Representations in the Human Brain","https://arxiv.org/abs/2605.23895",54,54,0,0,"","2026-06-03","Yuval Golbari; Navve Wasserman; Matias Cosarinsky; Roman Beliy; Aude Oliva; Antonio Torralba; Michal Irani; Tamar Rott Shaham"
"Sakana Fugu Technical Report","https://arxiv.org/abs/2606.21228",53,0,53,0,"","2026-06-23","Yujin Tang; Edoardo Cetin; Jinglue Xu; Qi Sun; Stefan Nielsen; Vincent Richard; Haruto Goda; Iaroslav Tymchenko; Nhan Nguyen; Hyunin Lee; Mari Ashiga; Shashank Kotyan; So Kuroki; Tarin Clanuwat"
"OmniOPD: Logit-Free On-Policy Distillation via Speculative Verification","https://arxiv.org/abs/2606.01476",53,0,53,0,"","2026-06-11","Yuhang Zhou; Lizhu Zhang; Yifan Wu; Mingyi Wang; Bo Peng; Jiayi Liu; Xiangjun Fan; Zhuokai Zhao"
"GRAIL: Generating Humanoid Loco-Manipulation from 3D Assets and Video Priors","https://arxiv.org/abs/2606.05160",53,0,53,0,"","2026-06-03","Tianyi Xie; Haotian Zhang; Jinhyung Park; Zi Wang; Bowen Wen; Jiefeng Li; Xueting Li; Qingwei Ben; Haoyang Weng; Yufei Ye; David Minor; Tingwu Wang; Chenfanfu Jiang; Sanja Fidler; Jan Kautz; et al. (20 authors)"
"VLMs are Good Teachers for Video Reasoning via Adaptive Test-Time Optimization","https://arxiv.org/abs/2606.02564",52,0,52,0,"","2026-06-25","Junhao Cheng; Liang Hou; Tianxiong Zhong; Xin Tao; Pengfei Wan; Kun Gai; Jing Liao"
"Echo-Memory: A Controlled Study of Memory in Action World Models","https://arxiv.org/abs/2606.09803",52,0,52,0,"","2026-06-08","Wayne King; Zeyue Xue; Yuxuan Bian; Jie Huang; Haoran Li; Yaowei Li; Yaofeng Su; Yuming Li; Haoyu Wang; Shiyi Zhang; Songchun Zhang; Yuwei Niu; Sihan Xu; Junhao Zhuang; Haoyang Huang; et al. (16 authors)"
"Escaping the Self-Confirmation Trap: An Execute-Distill-Verify Paradigm for Agentic Experience Learning","https://arxiv.org/abs/2606.24428",51,51,0,0,"","2026-06-24","Shiding Zhu; Yudi Qi; Yajie Wang; Jiaze Li; Chao Song; Yaorui Shi; Yibo Miao; Hanqi Gao; Kai Zhang"
"$μ_0$: A Scalable 3D Interaction-Trace World Model","https://arxiv.org/abs/2606.13769",51,0,51,0,"","2026-06-15","Seungjae Lee; Yoonkyo Jung; Jusuk Lee; Jonghun Shin; Amir Hossein Shahidzadeh; Yao-Chih Lee; H. Jin Kim; Jia-Bin Huang; Furong Huang"
"VisualClaw: A Real-Time, Personalized Agent for the Physical World","https://arxiv.org/abs/2606.16295",51,0,51,0,"","2026-06-15","Haoqin Tu; Jianwen Chen; Zijun Wang; Siwei Han; Juncheng Wu; Hardy Chen; Haonian Ji; Kaiwen Xiong; Jiaqi Liu; Peng Xia; Jieru Mei; Hongliang Fei; Jason Eshraghian; Zeyu Zheng; Yuyin Zhou; et al. (17 authors)"
"NVIDIA OmniDreams: Real-Time Generative World Model for Closed-Loop Autonomous Vehicle Simulation","https://arxiv.org/abs/2606.03159",51,0,51,0,"","2026-06-02","Aarti Basant; Amlan Kar; Despoina Paschalidou; Fangyin Wei; Francesco Ferroni; Guillermo Garcia Cobo; Haithem Turki; Huan Ling; Jaewoo Seo; James Lucas; Jay Zhangjie Wu; Jialiang Wang; Jonathan Lorraine; Jun Gao; Kai He; et al. (33 authors)"
